料號	品名
1H0 119 137A /	皮帶-風扇
1H0 121 101B *	水管-上
1H0 121 101B -	水管-上
1H0 121 101R	水管-上
1H0 121 109A *	水管-副筒>鐵管
1H0 121 109B *	水管-副筒>鐵管>ATF冷卻器
1H0 121 157	水管-三通
1H0 121 157A	水管
1H0 121 253BA #	水箱
1H0 121 253BA +	水箱
1H0 121 253BA -	水箱
1H0 121 253BE	水箱
1H0 121 253BE #	水箱
1H0 121 253BE *	水箱
1H0 121 253BE /	水箱
1H0 121 253L *	水箱
1H0 121 253P	水箱
1H0 121 253P *	水箱
1H0 121 253P /	水箱
1H0 121 321C #	水箱蓋
1H0 121 321C -	水箱蓋-黑
1H0 121 321C .	水箱蓋-綠
1H0 121 407A *	副水筒
1H0 121 407A /	副水筒
1H0 121 687	O型環-水管接頭
1H0 127 401C -	汽油杯-柴油
1H0 127 401C /	汽油杯-柴油
1H0 129 620 #	空氣芯
1H0 129 620 +	空氣芯
1H0 129 620 .	空氣芯
1H0 129 620 /	空氣芯
1H0 131 701J *	觸煤轉換器
1H0 131 701JX	觸煤轉換器
1H0 199 262A #	引擎腳-右後
1H0 199 262F	引擎腳-右後
1H0 199 262F +	引擎腳-右後
1H0 199 262F /	引擎腳-右後
1H0 199 262K +	引擎腳-右後
1H0 199 609F	引擎腳-前
1H0 199 609F +	引擎腳-前
1H0 199 609K +	引擎腳-前
1H0 201 511	汽油杯
1H0 201 511 *	汽油杯
1H0 201 511 -	汽油杯
1H0 201 511 /	汽油杯
1H0 201 511A +	燃油濾清器-汽油
1H0 201 511A .	汽油杯
1H0 201 511A ~	汽油杯
1H0 201 511A ~1	燃油濾清器-汽油
1H0 201 801C ~	活性碳罐
1H0 253 115 -	排氣管墊片
1H0 253 409B *	消音器-中段
1H0 253 409B -	消音器-中段
1H0 253 409B /	消音器-中段
1H0 407 151 /	三角架
1H0 407 255	羊角-左前輪
1H0 407 256	羊角-右前輪
1H0 407 271A	傳動軸-左
1H0 407 271A *	傳動軸-左
1H0 407 271C	傳動軸-左
1H0 407 271N *	傳動軸-左
1H0 407 272A *	傳動軸-右
1H0 407 272MX	傳動軸-右
1H0 407 417 *	內半軸修理包-左
1H0 407 418 *	內半軸修理包-右
1H0 407 450BX	傳動軸-右
1H0 413 031A #	避震器-前
1H0 413 031A *	避震器-前
1H0 413 031A +	避震器-前
1H0 413 031A /	避震器-前
1H0 413 031A >	避震器-前
1H0 413 031A GA	避震器-前
1H0 413 031L *	避震器-前
1H0 413 031L /	避震器-前
1H0 419 669A  01C	喇叭蓋
1H0 419 677   01C	方向盤喇叭蓋
1H0 422 371	方向機油壺
1H0 422 371A	方向機油壺
1H0 422 371C /	方向機油壺
1H0 422 801C *	惰桿
1H0 422 803 +	惰桿總成-左
1H0 422 803 /	惰桿總成-左
1H0 422 804 +	惰桿總成-右
1H0 422 804 /	惰桿總成-右
1H0 422 804A *	惰桿總成-右
1H0 422 821 +	惰桿
1H0 422 821 /	惰桿
1H0 422 821C *	惰桿
1H0 422 831B *	方向機防塵套
1H0 422 831B -	方向機防塵套
1H0 422 831BS *	方向機防塵套-代束子
1H0 422 875	方向機架子
1H0 422 884 /	方向機固定橡皮
1H0 498 099 -	外半軸修理包
1H0 498 099 /	外半軸修理包
1H0 498 203	防塵套修包-外半軸
1H0 498 203 *	防塵套修包-外半軸
1H0 498 203 /	防塵套修包-外半軸
1H0 498 203A /	防塵套修包-外半軸
1H0 501 541	後軸鐵套
1H0 513 031 -	避震器-後
1H0 513 031D -	避震器-後
1H0 513 031R +	避震器-後
1H0 513 031S -	避震器-後
1H0 609 721 -	手煞車線
1H0 609 721A /	手煞車線
1H0 611 053 *	煞車分泵-後
1H0 611 701 #	煞車軟管-前
1H0 611 731A	煞車油管接頭
1H0 612 151C *	煞車平衡器
1H0 615 123A	煞車分泵-前左
1H0 615 123B	煞車分泵-前左
1H0 615 123BX	煞車分泵-前左
1H0 615 124B	煞車分泵-前右
1H0 615 124C	煞車分泵-前右
1H0 615 424 *	煞車分泵-後右
1H0 698 151 !	來令片組-前
1H0 698 151 +	來令片組-前
1H0 698 151B ^	來令片組-前
1H0 698 451C	來令片組-後
1H0 698 451C /	來令片組-後
1H0 698 451D	來令片組-後
1H0 698 451E	來令片組-後
1H0 698 451E *	來令片組-後
1H0 698 451E .	來令片組-後
1H0 698 451F #	來令片組-後
1H0 698 451F .	來令片組-後
1H0 698 451H	來令片組-後
1H0 698 520X	來令片組-後
1H0 698 525 *	來令片組-後
1H0 698 525 +	來令片組-後
1H0 698 525 .	來令片組-後
1H0 698 525 /	來令片組-後
1H0 698 525X	來令片組-後
1H0 698 545A	後煞車修理包
1H0 711 202A	排擋線連桿
1H0 721 173 -	踏板橡皮
1H0 721 555A	油門線-手排
1H0 805 551B *TW	內保桿-前
1H0 819 373	熱水管-入
1H0 819 465A	通風口-後葉子板下
1H0 819 465E	通風口-後葉子板下
1H0 819 644	空調濾芯
1H0 819 644 #	空調濾芯
1H0 819 644 -	空調濾芯
1H0 819 644 /	空調濾芯
1H0 819 644A	空調濾芯
1H0 819 644B +	空調濾芯
1H0 819 644B -	空調濾芯
1H0 819 644B .	空調濾芯
1H0 819 644B /	空調濾芯
1H0 820 191A	乾燥筒-代開關
1H0 820 413 -	冷排
1H0 820 679A	膨脹閥
1H0 820 803 D	壓縮機總成-正
1H0 820 803D  XX	壓縮機總成
1H0 820 803D -	壓縮機總成
1H0 820 803DX *	壓縮機總成
1H0 821 105A *TW	葉子板-左前
1H0 821 106 *TW	葉子板-右前
1H0 837 034A	六角鎖扣
1H0 837 034C	六角鎖扣
1H0 837 061E	鎖仁-外把手
1H0 837 187A 01C	車門按扣
1H0 837 205	外把手總成-前
1H0 837 205C *	外把手總成-前
1H0 837 207	外把手-前
1H0 837 207C *	外把手-前
1H0 837 219	鑰匙-代燈
1H0 837 223	外把手撥桿
1H0 837 229	外把手拉桿彈簧
1H0 837 237A	外把手旋扭
1H0 837 401B -	升降機-手動左前
1H0 837 402A	升降機總成-右前電動
1H0 837 402B -	升降機-手動右前
1H0 837 461A /	升降機-電動左前
1H0 898 015	天窗滑軌鋼繩-左
1H0 898 016	天窗滑軌鋼繩-右
1H0 898 201	方向盤組-含氣囊
1H0 898 717 *	輪弧組
1H0 905 855A *	引擎鎖仁
1H0 906 091 #	汽油泵
1H0 906 091 *	汽油泵
1H0 906 091 -	汽油泵
1H0 906 091 .	汽油泵
1H0 907 311P *	引擎電腦
1H0 907 379E *	ABS電腦
1H0 919 051AJ *	汽油泵/浮筒
1H0 919 051AJ -	汽油泵/浮筒
1H0 919 051AJ /	汽油泵/浮筒
1H0 919 051AK	汽油泵/浮筒
1H0 919 051AK ~	汽油泵/浮筒
1H0 919 506 -	控制盒-冷氣風扇
1H0 919 506 .	控制盒-冷氣風扇
1H0 919 651N	汽油泵
1H0 919 651N -	汽油泵
1H0 919 651P -	汽油泵
1H0 919 651P*	汽油泵
1H0 919 651PS *	汽油泵-含油管/上蓋
1H0 919 651Q -	汽油泵
1H0 919 860DV	儀錶板總成
1H0 919 860DX >	儀錶板舊品繳回件
1H0 927 149	排擋燈
1H0 941 699 *	霧燈-左
1H0 941 699 *ZKW	霧燈-左
1H0 941 700 *	霧燈-右
1H0 941 777 *	霧燈蓋板-左大
1H0 941 778 *	霧燈蓋板-右大
1H0 941 779 *	霧燈蓋板-左小
1H0 947 303  H50	室內燈-後L/R
1H0 947 563A	室內燈開關
1H0 953 049 *	方向燈-左前/黃
1H0 953 049 /	方向燈-左前/黃
1H0 953 049D *	方向燈-左前/白
1H0 953 049D /	方向燈-左前/白
1H0 953 050 *	方向燈-右前/黃
1H0 953 123	燈泡座-前方向燈
1H0 953 123F /	燈泡座-前方向燈
1H0 953 227 +	繼電器-21/191
1H0 953 227 -	繼電器-21/191
1H0 953 227 /	繼電器-21/191
1H0 953 513  01C	方向燈開關
1H0 953 513C *	方向燈開關
1H0 953 516B 01C	方向盤蓋板-下
1H0 953 519 *	雨刷開關
1H0 955 119	雨刷馬達
1H0 955 425C	雨刷片-右 111
1H0 959 139B	冷氣壓力開關
1H0 959 139B ~	冷氣壓力開關
1H0 959 142 *	繼電器-147
1H0 959 142 ~	繼電器-147
1H0 959 455AH	風扇馬達
1H0 959 455G *	風扇馬達
1H0 959 455G -	風扇馬達
1H0 959 455J *	風扇馬達
1H0 959 455K *	風扇馬達
1H0 959 455T	風扇馬達
1H0 959 543  B41	冷氣開關
1H0 959 653	安全氣囊線圈
1H0 959 855 -	電窗開關-左前
1H0 959 855A -	電窗開關-前-控制後門
1H0 962 257G *	中控控制盒
1H0 962 257J *	中控控制盒
1H0 971 000	線組-霧燈
1H0 998 139 *	霧燈組
1H0 998 139A *	霧燈組-黑
1H1 422 055A	動力方向機
1H1 422 055X -	動力方向機
1H1 422 061D	動力方向機
1H1 422 061V	動力方向機
1H1 422 061X *	動力方向機
1H1 422 893G *	方向機油管-泵>方機
1H1 422 893G /	方向機油管-泵>方機
1H1 611 019C *	煞車總泵
1H1 612 107C -	煞車真空輔助泵
1H1 698 019A /	煞車總泵
1H1 698 107 *	煞車真空輔助泵
1H1 721 335A -	離合器線
1H1 819 031A	暖排
1H1 819 031A +	暖排
1H1 819 031B ~	暖排
1H1 819 416B  B41 ZZ	拖比蓋板-右-瑕疵
1H1 820 019	鼓風機
1H1 820 021  ZZ	鼓風機-瑕疵
1H1 820 021 -	鼓風機
1H1 820 103B	蒸發器
1H1 820 103B *	蒸發器
1H1 820 103B *-	蒸發器
1H1 820 103C  /	蒸發器
1H1 820 103C *	蒸發器
1H1 820 413 *	冷排
1H1 820 413 /	冷排
1H1 820 741A *	冷氣管-乾>膨
1H1 837 015K	六角鎖-左前門
1H1 837 016K	六角鎖-右前門
1H1 857 507A *	後視鏡總成-左電動
1H1 857 508A *	後視鏡總成-右電動
1H1 857 521B *	後視鏡片-左除霧
1H1 857 521C *	後視鏡片-左電動廣角
1H1 857 521C -	後視鏡片-左除霧廣角
1H1 857 522 *	後視鏡片-右手動
1H1 857 522A *	後視鏡片-右電動
1H1 863 209  B41	排擋桿蓋板-自排
1H1 955 409B	雨刷臂-左
1H3 867 365B	防水橡皮-車門
1H4 809 847 -	戶定板金-左
1H4 809 848 -	戶定板金-右
1H4 831 051K  XX	車門總成-左前-中古
1H4 831 052K  XX	車門總成-右前-中古
1H4 831 055 X	門總成-左前
1H4 831 056 X	門總成-右前
1H4 833 052H *	車門總成-右後
1H4 839 205	外把手-後門
1H4 839 249 -	車門止擋器-後L/R
1H4 839 461A -	升降機-電動左後
1H4 839 462A -	升降機-電動右後
1H4 862 153	中控分泵-左後
1H5 253 609M *	消音器-後段
1H5 253 609M -	消音器-後段
1H5 253 609P	消音器-後段
1H5 253 609P *	消音器-後段
1H5 253 609P /	消音器-後段
1H5 807 217 *TW	保桿-前外
1H5 807 217 X	保桿-前外
1H5 807 417 GRU  XX	保桿-後-中古
1H5 827 025H	後箱蓋
1H5 827 025K X	後箱蓋
1H5 827 550A	撐桿-後箱蓋
1H5 827 550B +	撐桿-後箱蓋
1H5 827 550B /	撐桿-後箱蓋
1H5 853 653  *	前柵-黑
1H5 853 653C *	前柵
1H5 853 653D *	前柵
1H5 853 661 *TW	前中巴
1H5 863 849	吸音棉扣子
1H5 941 017 *	大燈總成-左
1H5 941 017 +	大燈總成-左
1H5 941 018 *	大燈總成-右
1H5 941 018 +	大燈總成-右
1H5 945 111 *	尾燈-左外
1H5 945 111A *	尾燈-左外(黑)
1H5 945 112 *	尾燈-右外
1H5 945 112A *	尾燈-右外(黑)
1H5 955 651 -	噴水馬達
1H5 959 621  01C	除霧開關
1H6 253 609P -	消音器-後段
1H6 253 609P /	消音器-後段
1H6 253 609R	消音器-後段
1H6 253 609R *	消音器-後段
1H6 253 609S	消音器-後段
1H6 253 609S *	消音器-後段
1H6 253 609S /	消音器-後段
1H6 253 609T /	消音器-後段
1H6 805 825	前下遮板-左
1H6 805 826	前下遮板-右
1H6 805 903A *	前下擾流板-左
1H6 805 904 *	前下擾流板-右
1H6 805 904A *	前下擾流板-右
1H6 807 217A *	保桿-前外
1H6 813 302A -	後圍板
1H6 827 025E  Z	後箱蓋
1H6 827 550A +	撐桿-後箱蓋
1H6 827 550A /	撐桿-後箱蓋
1H6 827 577  B41	後箱蓋飾條
1H6 827 577D  3FZ XX	後箱蓋鎖殼-中古
1H6 853 653C *	前柵
1H6 853 653C *TW	前柵
1H6 853 653CS *	前柵-含中巴
1H6 853 661 *TW	前中巴
1H6 853 665A *	通風網-左
1H6 853 665A /	通風網-左
1H6 853 666 *	通風網-右
1H6 853 666 /	通風網-右
1H6 898 913C	前柵總成-烤漆
1H6 941 017AF *	大燈總成-左
1H6 941 017AJ *	大燈總成-左
1H6 941 018	大燈總成-右
1H6 941 018AF *	大燈總成-右
1H6 945 111 #	尾燈-左
1H6 945 111 *	尾燈-左
1H6 945 111B	尾燈-左(黑/紅)
1H6 945 112 -	尾燈-右
1H6 945 112C	尾燈-左(黑/紅)
1H6 955 435	雨刷臂蓋-後
1H6 955 651	噴水馬達
1H6 955 651 +	噴水馬達
1H6 959 621  01C	除霧開關
1HM 422 887	方向機油管(鐵管>泵)
1HS 513 031D	避震器-後
1J0 035 503A	天線底座-車頂
1J0 035 849	天線尾巴
1J0 121 058C	水管-變速冷卻器>鐵管
1J0 121 058E	水管-變速冷卻器
1J0 121 086BR -	水管-機油冷卻器
1J0 121 086E	水管
1J0 121 156AG	水管-接頭>節閥>暖排*2
1J0 121 156BC	水管-接頭>節閥>暖排*2
1J0 121 156S	水管-接頭>節閥>暖排*2
1J0 121 253AD *	水箱
1J0 121 253AD +	水箱
1J0 121 253AT	水箱
1J0 121 253N	水箱
1J0 121 253P	水箱
1J0 121 253P *	水箱
1J0 121 253P -	水箱
1J0 121 253P /	水箱
1J0 121 253S -	水箱
1J0 121 321B .	水箱蓋
1J0 121 321B ~	水箱蓋
1J0 121 403	副水筒
1J0 121 403B -	副水筒
1J0 121 444CT	水管-副筒
1J0 122 101S -	水管-上
1J0 122 109AQ	水管-副水筒>鐵管
1J0 122 157FK -	水管>節流閥>鐵水管>熱水管
1J0 122 291A	下水管接管
1J0 129 607AG	空氣芯總成
1J0 129 620 +	空氣芯
1J0 129 684CG ~	進氣管
1J0 129 684H	進氣管
1J0 129 684N	進氣管
1J0 129 684N -	進氣管
1J0 133 986A	汽油管
1J0 133 986AC	汽油管
1J0 133 986R	汽油管-進/回
1J0 145 276B -	惰輪-綜合皮帶
1J0 145 805G	渦輪增壓散熱器
1J0 199 117AC	引擎腳支架-左
1J0 199 262BE *	引擎腳-右
1J0 199 262BE +	引擎腳-右
1J0 199 262BF *	引擎腳-右
1J0 199 262BF +	引擎腳-右
1J0 199 262BF ~	引擎腳-右
1J0 199 262BH	引擎腳-右
1J0 199 262BM	引擎腳-右
1J0 199 262CL *	引擎腳-右
1J0 199 262CL +	引擎腳-右
1J0 199 313B	工字樑
1J0 199 313J	工字樑
1J0 199 313MX	工字樑
1J0 199 555AH +	引擎腳-左
1J0 199 555AH -	引擎腳-左
1J0 199 555AJ *	引擎腳-左
1J0 199 555AJ +	引擎腳-左
1J0 199 555AQ *	引擎腳-左
1J0 199 555BB /	引擎腳-左
1J0 199 851AA -	引擎腳-後
1J0 199 851N +	引擎腳-後
1J0 201 293E	汽油管-汽油芯>油箱
1J0 201 511A +	燃油濾清器-汽油
1J0 201 511A .	汽油杯
1J0 201 511A ~	汽油杯
1J0 201 511A ~1	燃油濾清器-汽油
1J0 201 550A 01C	油箱蓋
1J0 201 550AC 01C	油箱蓋
1J0 201 550AS  9B9	油箱蓋
1J0 201 550AS 01C	油箱蓋
1J0 253 115A	排氣管墊片
1J0 253 115A -	排氣管墊片
1J0 253 209 -	消音器-前段
1J0 253 209B	消音器-前段
1J0 254 508PX	觸煤轉換器
1J0 407 151A	三角架
1J0 407 151A *	三角架
1J0 407 151B	三角架
1J0 407 151B +	三角架
1J0 407 151B .	三角架
1J0 407 151B /	三角架
1J0 407 151C ~	三角架
1J0 407 175S	三角架螺帽-代螺絲
1J0 407 181 #	三角架鐵套
1J0 407 181 /	三角架鐵套-金
1J0 407 181 ~	三角架鐵套
1J0 407 255J	羊角-左前輪
1J0 407 256M	羊角-右前輪
1J0 407 271CH XX	傳動軸-左-中古
1J0 407 272CT /	傳動軸-右
1J0 407 365C *	和尚頭-三角架左
1J0 407 365C .	和尚頭-三角架左
1J0 407 365H	和尚頭-三角架左
1J0 407 365H *	和尚頭-三角架左
1J0 407 366C	和尚頭-三角架右
1J0 407 366C *	和尚頭-三角架右
1J0 407 366C .	和尚頭-三角架右
1J0 407 366H *	和尚頭-三角架右
1J0 407 451DX	傳動軸-左
1J0 407 451LX	傳動軸-左
1J0 407 451SX	傳動軸-左
1J0 407 452GX	傳動軸-右
1J0 407 452HX	傳動軸-右
1J0 407 452LX	傳動軸-右
1J0 407 613C	哈扶-前
1J0 407 625 -	前輪軸承
1J0 407 625 /	前輪軸承
1J0 407 721C	護蓋-傳動軸
1J0 411 105K -	避震器彈簧-前
1J0 411 314C	平衡桿固定橡皮
1J0 411 314C -	平衡桿固定橡皮
1J0 411 314G	平衡桿固定橡皮
1J0 411 314G -	平衡桿固定橡皮
1J0 411 314T /	平衡桿固定橡皮
1J0 411 315C	平衡桿接頭
1J0 411 315C /	平衡桿接頭
1J0 411 315D +	平衡桿接頭-左
1J0 411 315G +	平衡桿接頭
1J0 411 315G -	平衡桿接頭
1J0 411 315H	平衡桿接頭
1J0 411 315J	平衡桿接頭
1J0 411 315K ~	平衡桿接頭
1J0 411 316D +	平衡桿接頭-右
1J0 412 331B	避震器上座
1J0 412 331C +	避震器上座
1J0 412 331C .	避震器上座-紅
1J0 412 331C ~	避震器上座-銀
1J0 413 031AG	避震器-前
1J0 413 031AG /	避震器-前
1J0 413 031AG Z	避震器-前
1J0 413 031N	避震器-前
1J0 413 031P	避震器-前
1J0 413 031P +	避震器-前
1J0 413 031S	避震器-前
1J0 413 031S Z	避震器-前
1J0 422 152A	方向機泵
1J0 422 154A	方向機泵
1J0 422 154AX	方向機泵
1J0 422 154B	方向機泵
1J0 422 154D	方向機泵
1J0 422 154H *	方向機泵
1J0 422 154H -	方向機泵
1J0 422 154H /	方向機泵
1J0 422 269B	方向機油壓力開關座-螺絲
1J0 422 269C	方向機油壓力開關座-螺絲
1J0 422 371C /	方向機油壺
1J0 422 803A *	惰桿總成-左
1J0 422 803A +	惰桿總成-左
1J0 422 803B	惰桿總成-左
1J0 422 803B *	惰桿總成-左
1J0 422 803B +	惰桿總成-左
1J0 422 803B /	惰桿總成-左
1J0 422 803H #	惰桿總成-左
1J0 422 804 *	惰桿總成-右
1J0 422 804A *	惰桿總成-右
1J0 422 804A +	惰桿總成-右
1J0 422 804B	惰桿總成-右
1J0 422 804B *	惰桿總成-右
1J0 422 804B +	惰桿總成-右
1J0 422 804B /	惰桿總成-右
1J0 422 804B ~	惰桿總成-右
1J0 422 807A	惰桿
1J0 422 807B -	惰桿
1J0 422 807B .	惰桿
1J0 422 811A +	和尚頭-惰桿左
1J0 422 811B +	和尚頭-惰桿左
1J0 422 811B ~	和尚頭-惰桿左
1J0 422 812A +	和尚頭-惰桿右
1J0 422 812A -	和尚頭-惰桿右
1J0 422 812B +	和尚頭-惰桿右
1J0 422 831B *	方向機防塵套
1J0 422 887J	方向機油管-油壺>泵
1J0 422 893DD /	方向機油管-泵>方機
1J0 422 893HR	方向機油管-泵>方機
1J0 498 201B	防塵套修包-內半軸
1J0 498 201D	防塵套修包-內半軸
1J0 498 203	防塵套修包-外半軸
1J0 498 203A	防塵套修包-外半軸
1J0 498 625 +	前輪軸承組
1J0 501 541C *	後軸鐵套
1J0 505 365N	拉桿鐵套-後
1J0 513 025BF	避震器-後
1J0 513 025BF -	避震器-後
1J0 513 025BH +	避震器-後
1J0 513 025BL +	避震器-後
1J0 513 353B	後避上座
1J0 513 353B ~	後避上座
1J0 513 353C	後避上座
1J0 513 353C +	後避上座
1J0 513 353C -	後避上座
1J0 513 353D +	後避上座
1J0 513 353D -	後避上座
1J0 513 353G	後避上座
1J0 513 353G *	後避上座
1J0 513 353G +	後避上座
1J0 513 425 *	避震器防塵套-後
1J0 513 425 -	避震器防塵套-後
1J0 513 425A -	避震器防塵套-後
1J0 521 127A *	中傳動軸緩衝墊-前
1J0 598 625 /	輪軸承修理包-後
1J0 601 171   BXF	輪圈蓋
1J0 609 721K	手煞車線
1J0 611 243	煞車總泵墊圈
1J0 611 701	煞車軟管-前
1J0 611 701 *	煞車軟管-前
1J0 611 731	煞車油管接頭-前
1J0 612 041AM	真空管
1J0 612 041AQ	真空管
1J0 612 041AT	真空管
1J0 612 041CN	真空管
1J0 612 041CS	真空管
1J0 612 041EF	真空管
1J0 612 041GS	真空管
1J0 612 181C	煞車真空泵-電動
1J0 612 181D	煞車真空泵-電動
1J0 615 124A	煞車分泵-右前
1J0 615 301AA	煞車盤-左
1J0 615 301C !	煞車盤-前
1J0 615 301C +	煞車盤-前
1J0 615 301C -	煞車盤-前
1J0 615 301D	煞車盤-前
1J0 615 301D !	煞車盤-前
1J0 615 301D +	煞車盤-前
1J0 615 301D -	煞車盤-前
1J0 615 301D /	煞車盤-前
1J0 615 301E	煞車盤-前
1J0 615 301E !	煞車盤-前
1J0 615 301R	煞車盤-前
1J0 615 302A	煞車盤-右
1J0 615 423B .	煞車分泵-後左
1J0 615 423EX /	煞車分泵-後左
1J0 615 424B .	煞車分泵-後右
1J0 615 601	煞車盤-後
1J0 615 601 !	煞車盤-後
1J0 615 601 +	煞車盤-後
1J0 615 601 -	煞車盤-後
1J0 615 601C	煞車盤-後
1J0 615 601N	煞車盤-後
1J0 615 601N !	煞車盤-後
1J0 615 601N -	煞車盤-後
1J0 615 601P	煞車盤-後
1J0 698 151E	來令片組-前
1J0 698 151E *	來令片組-前
1J0 698 151E .	來令片組-前
1J0 698 151E ^	來令片組-前
1J0 698 151G !	來令片組-前
1J0 698 151G *	來令片組-前
1J0 698 151G /	來令片組-前
1J0 698 151G ^	來令片組-前
1J0 698 151J /	來令片組-前
1J0 698 151M	來令片組-前
1J0 698 301E !	煞車盤組-前-*2
1J0 698 451	來令片組-後
1J0 698 451 *	來令片組-後
1J0 698 451 -	來令片組-後
1J0 698 451 .	來令片組-後
1J0 698 451 ^	來令片組-後
1J0 698 451C	來令片組-後
1J0 698 451F !	來令片組-後
1J0 698 451J	來令片組-後
1J0 698 451P	來令片組-後
1J0 698 601N !	煞車盤組-後-*2
1J0 711 303AA	手煞車拉柄
1J0 713 085C	排擋桿及底座
1J0 713 598  2ZZ	排檔指示面板座-鍍鉻-手自排
1J0 721 169A  909	托架
1J0 721 261D	離合器分泵
1J0 721 261H *	離合器分泵
1J0 721 261J	離合器分泵
1J0 721 261L /	離合器分泵
1J0 721 468C	通氣閥
1J0 805 588H	水箱架
1J0 805 588H +	水箱架
1J0 805 588H -	水箱架
1J0 805 903B *	前下擾流板
1J0 806 157E	水箱固定扣-下
1J0 807 217C *	保桿-前外
1J0 809 961E	擋泥板-左前內龜
1J0 809 962A	擋泥板-右前內龜
1J0 809 962F	擋泥板-右前內龜
1J0 810 773A	中控馬達-油箱蓋
1J0 810 773C	中控馬達-油箱蓋
1J0 819 644	空調濾芯-活性碳
1J0 819 644 -	空調濾芯-活性碳
1J0 819 644 /	空調濾芯-活性碳
1J0 819 644A !	空調濾芯-活性碳
1J0 819 644A #	空調濾芯-活性碳
1J0 819 644A +	空調濾芯-活性碳
1J0 819 644A -	空調濾芯-活性碳
1J0 819 644A .	空調濾芯-活性碳
1J0 820 045E	冷氣開關總成
1J0 820 191A	乾燥筒
1J0 820 191D ~	乾燥筒
1J0 820 411B	1J0 820 411B
1J0 820 413D	冷排
1J0 820 413D -	冷排
1J0 820 749	O型環-冷氣管
1J0 820 749B	O型環-冷氣管
1J0 820 803AX	壓縮機總成
1J0 820 803F	壓縮機總成
1J0 820 803FV	壓縮機總成
1J0 820 803FX	壓縮機總成
1J0 820 803K	壓縮機總成
1J0 820 803K ~	壓縮機總成
1J0 820 803KX	壓縮機總成
1J0 820 803L X	壓縮機總成
1J0 820 803L XX	壓縮機總成
1J0 821 021 +	葉子板-左前
1J0 821 021 -	葉子板-左前
1J0 821 022	葉子板-右前
1J0 821 022 +	葉子板-右前
1J0 821 022 -	葉子板-右前
1J0 821 135	葉子板固定支架-左前
1J0 821 136	葉子板固定支架-右前
1J0 823 031A	引擎蓋
1J0 823 031A +	引擎蓋
1J0 823 031A -	引擎蓋
1J0 823 359D ~	撐桿-引擎蓋
1J0 823 509	引擎蓋六角鎖
1J0 823 509C	引擎蓋六角鎖
1J0 825 237J	引擎下護板
1J0 825 245E  01C -	引擎下護板-左
1J0 831 401A	車門後扭-左上
1J0 831 402A	車門後扭-右上
1J0 837 246H  1NB	鑰匙-VIN訂
1J0 853 651AX	前柵-黑
1J0 853 651BX	前柵-紅
1J0 853 651CX	前柵-白
1J0 853 651DX	前柵-灰
1J0 853 651EX	前柵-藍
1J0 853 653D GRU	前柵
1J0 853 655G +	前柵-內
1J0 853 665B  B41 *	通風網-左
1J0 853 665B  B41 XX	通風網-左-中古
1J0 853 666E  B41 *	通風網-右
1J0 853 666E  B41 XX	通風網-右-中古
1J0 858 601	置杯架-前
1J0 858 601C	置杯架-前
1J0 863 835E	吸音棉-引擎蓋
1J0 867 180A  7DE	內把手拉柄-右後-灰
1J0 867 180A  A94	內把手拉柄-右後-黑
1J0 881 671F B41	椅背調整扭/下
1J0 881 671F U71	椅背調整扭/下
1J0 881 671G B41	椅背調整扭
1J0 881 671G U71	椅背調整扭-上/腰椎
1J0 906 283B	電磁閥
1J0 906 283C	電磁閥
1J0 906 381 ~	繼電器-429
1J0 906 383	繼電器-409
1J0 906 383C ~	繼電器-409
1J0 907 543	溫度感知器
1J0 907 543A *	溫度感應器-冷氣
1J0 907 660B -	油位感知器-機油
1J0 907 660C	油位感知器-機油
1J0 907 660C *	油位感知器-機油
1J0 919 051H -	汽油泵
1J0 919 067A	排擋燈
1J0 919 081 .	方向機油壓力開關
1J0 919 081 ~	方向機油壓力開關
1J0 919 087H	汽油泵
1J0 919 087J /	汽油泵
1J0 919 305	點煙器
1J0 919 307	點煙器
1J0 919 379A ~	室外溫度感知器
1J0 919 506E -	控制盒-冷氣風扇
1J0 919 506K .	控制盒-冷氣風扇
1J0 919 506L +	控制盒-冷氣風扇
1J0 927 189F	開關
1J0 927 803 -	ABS速度感知器-左前
1J0 937 617D ZZ	保險絲座-瑕疵
1J0 937 617D ~	保險絲座
1J0 937 617DS ~ZZ	保險絲座-含蓋-瑕疵
1J0 945 511A	煞車燈開關
1J0 945 511C	煞車燈開關
1J0 945 511D .	煞車燈開關
1J0 945 511D /	煞車燈開關
1J0 945 511F	煞車燈開關
1J0 947 411B	車門警示燈
1J0 947 561A	手煞車燈開關
1J0 949 117 *	側燈-透明
1J0 953 235C 01C	故障燈開關
1J0 953 235J /	故障燈開關
1J0 953 235J ~	故障燈開關
1J0 953 253J ~	故障燈開關
1J0 955 109A  GRU	大燈噴水器外蓋-左
1J0 955 110A  GRU	大燈噴水器外蓋-右
1J0 955 119	雨刷馬達
1J0 955 119 -	雨刷馬達
1J0 955 119 /	雨刷馬達
1J0 955 119A	雨刷馬達
1J0 955 205	雨刷臂蓋-前
1J0 955 205A  01C	雨刷臂蓋-前
1J0 955 205A  9B9	雨刷臂蓋-前
1J0 955 453N	雨刷噴水筒
1J0 959 126	冷氣壓力開關
1J0 959 126 .	冷氣壓力開關-金
1J0 959 455F	風扇馬達
1J0 959 455F *	風扇馬達
1J0 959 455F -	風扇馬達
1J0 959 455F >	風扇馬達
1J0 959 455M	風扇馬達
