料號	品名
6C1 713 025AA	排檔桿機構-自排
6N0 407 182 -	三角架鐵套
6N0 412 249C *	避震器軸承
6N0 412 249C /	避震器軸承
6N0 698 151B !	來令片組-前
6N0 959 453P *	風扇馬達
6Q0 121 065H	水管接頭-暖排
6Q0 121 407B +	副水筒
6Q0 199 851AM *	引擎腳-後
6Q0 199 851AM -	引擎腳-後
6Q0 498 201B -	防塵套修包-內半軸
6Q0 498 203A /	防塵套修包-外半軸
6Q0 698 151 +	來令片組-前
6Q0 819 653  #	空調濾芯-活性碳
6Q2 959 802F  VW6  ZZ	電窗馬達-左前-瑕疵
6Q4 837 462J ~	升降機-電動右前
6Q6 945 257F -	燈泡座-左尾燈
6R0 121 253 /	水箱
6R0 121 253H /	水箱
6R0 698 545A *	煞車修理包-後鼓式
6R0 820 367 /	空調濾芯
6RF 199 555J ~	引擎腳-左後
6RF 839 016	六角鎖-右後門
6RU 698 525 !	來令片組-後
6RU 945 096E /	尾燈-右
6U0 919 501B #	水溫感知器-溫度錶
6V0 823 031F  ZZ	引擎蓋-瑕疵
6V0 831 051A	車門總成-左前
6V0 831 052A	車門總成-右前
6V0 839 461	升降機-電動左後
6V1 837 016C	六角鎖-右前門
6V9 807 393	保桿側固定座-後左
6X0 609 617A *	煞車鼓
6X0 837 461A ~	升降機-電動左
6X0 953 049G *	方向燈-左前
6X0 953 050G *	方向燈-右前
701 419 831	方向機防塵套
701 698 525A -	來令片組-後
701 867 299  01C	門內板固定扣-黑
742243SP	避震器-前
7D0 615 301C !	煞車盤-前
7D0 698 151E !	來令片組-前
7DB 959 455K /	風扇馬達
7E0 121 212B /	輔助水箱
7E0 121 253A #	水箱
7E0 121 253A *	水箱
7E0 121 407D	副水筒
7E0 129 620 +	空氣芯
7E0 131 983G	尿素導管
7E0 199 256J *	引擎腳-右
7E0 399 151A	變速箱腳-左
7E0 412 331A	避震器上座-前
7E0 498 203A *	防塵套修包-外半軸
7E0 820 411F #	冷排
7E0 820 803M	壓縮機總成
7E0 823 480F	引擎蓋六角鎖-上
7E0 829 193R	防水橡皮-後箱
7E0 907 296A	電腦護蓋-下
7E0 941 661C	霧燈/方向燈-左
7E0 941 662C	霧燈/方向燈-右
7E0 945 095R *	尾燈-左
7E0 945 095R * ZZ	尾燈-左-瑕疵
7E0 945 096AD ZZ	尾燈-右-瑕疵
7E0 945 207E  ZZ	尾燈-左-LED
7E0 945 207E * ZZ	尾燈-左-LED-瑕疵
7E0 955 707B	雨刷臂-後
7E1 820 021 /	鼓風機-前
7E1 955 603B	雨刷桿支架
7H0 127 401B	燃油芯-柴油
7H0 127 401D -	燃油芯-柴油-N2092
7H0 145 804B /	渦輪增壓散熱器
7H0 199 256H -	引擎腳-右
7H0 412 303A -	避震器橡皮-前
7H0 419 804F	惰桿總成-右
7H0 422 371A	方向機油壺
7H0 498 202B -	防塵套修包-內半軸
7H0 498 203 *	防塵套修包-外半軸
7H0 498 203A	防塵套修包-外半軸
7H0 698 151 /	來令片組-前
7H0 813 319	後圍板/尾燈座-左側
7H0 819 021A	鼓風機-後
7H0 843 436P	滑門滑輪-右上
7H0 843 766F	滑門馬達-右
7H0 907 512C	冷氣控制馬達-後
7H0 998 003	雨刷片組-硬式骨架
7H0 998 003 -	雨刷片組-硬式骨架  610S
7H1 857 527  ZZ	後視鏡外殼-左-已烤漆
7H3 827 709D	防水橡皮-中
7H5 829 621B  9B9	後箱蓋拉柄
7L0 121 407F /	副水筒
7L0 407 151H -	三角架-下-左
7L0 407 152H -	三角架-下-右
7L0 498 201A	防塵套修包-內半軸
7L0 698 151R !	來令片組-前
7L0 698 451H	來令片組-後
7L0 698 525 /	來令片組-手煞車
7L0 907 637 ~	來令片感應線-前
7L0 907 637C +	來令片感應線-後
7L0 959 455D Z	風扇馬達-右
7L0 959 455G ~	風扇馬達-右
7L1 837 015B	六角鎖-左前門
7L6 615 123F *	煞車分泵-左前
7L6 615 124F *	煞車分泵-右前
7L8 121 212A +	輔助水箱
7L8 122 101D -	水管-上
7LA 122 096E	水管-
7LA 199 256	引擎腳-右
7LA 199 256A	引擎腳-右
7LA 698 151C	來令片組-前
7LA 807 417A  GRU  ZZ	保桿-後-瑕疵
7LA 809 958D	內龜擋泥板-右前
7LA 827 469A	後箱鎖
7LA 827 505A	六角鎖-後箱
7LA 827 505B	六角鎖-後箱
7LA 831 055B	車門總成-左前
7LA 831 056B	車門總成-右前
7LA 843 604E	六角鎖-右滑門
7LA 843 604N	六角鎖-右滑門
7LA 843 654B	六角鎖-內-右中門
7LA 843 654C	六角鎖-內-右中門
7LA 941 661A	霧燈-左
7LA 941 662A	霧燈-右
7LA 955 711	雨刷馬達-後-左
7LA 955 712	雨刷馬達-後-右
7M3 411 317C +	平衡桿接頭
7M3 698 151A +	來令片組-前
7N0 127 177B .	燃油芯-柴油
7N0 199 855A -	引擎腳-後
7N0 498 201 *	防塵套修包-內半軸
7N0 698 151C !	來令片組-前
7N0 698 451A -	來令片組-後
7N0 831 401A	車門後鈕-前左-上/下
7N0 941 699 *	霧燈-左
7N0 941 700 *	霧燈-右
7P0 121 253A /	水箱
7P0 698 007D	空氣泵-氣壓彈簧
7P0 907 637C /	來令片感應線組-後-*2
7PP 959 858AF  DML	電窗開關總成-左前
80A 122 449Q	水管-
80A 131 961H	尿素管
80A 498 203	防塵套修包-外半軸
80A 862 153	中控馬達-油箱蓋
81A 807 107B  GRU ZZ	保桿-前-左+右-中古
81A 827 506	六角鎖-後廂
83A 857 519   EP5	後視鏡下蓋-電動
8A0 615 424 /	煞車分泵-後右
8D0 121 403D  ZZ	副水筒-暇疵
8D0 145 156F /	方向機泵
8D0 253 115 #	排氣管墊片
8D0 253 115C *	排氣管墊片
8D0 422 887L -	方向機油管-油壺>
8D1 422 891J ~	方向機油管-方機>冷卻管
8E0 121 101 *	水管-上
8E0 698 451L +	來令片組-後
8E0 721 257M /	離合器分泵
8E0 853 283G ZZ	外水切-前-左-瑕疵
8E0 941 029Q -	大燈總成-左-氙氣
8E0 941 030Q -	大燈總成-右-氙氣
8E0 959 455N +	風扇馬達-右
8E1 422 891AM-	方向機油管-方機>冷卻管
8E1 422 893DF /	方向機油管-泵>方機
8E9 955 985	噴水頭-後
8J0 598 625 *	輪軸承-前-代哈扶
8J0 945 095G * ZZ	尾燈-左-LLF812
8J0 945 096G * ZZ	尾燈-右-LLF811
8J1 837 015A ~	六角鎖-左前門
8J1 837 016A ~	六角鎖-右前門
8J1 837 016E ~	六角鎖-右前門
8K0 121 251AK +	水箱
8K0 121 251L /	水箱
8K0 121 251T -	水箱
8K0 122 101G -	水管-上
8K0 260 403AF +	冷排
8K0 407 152C -	三角架-下前右
8K0 407 509A *	三角架-上後左
8K0 407 693AD -	三角架-下後左
8K0 407 694AD -	三角架-下後右
8K0 407 694AF -	三角架-下後左
8K0 407 694T -	三角架-下後右
8K0 498 203 -	防塵套修包-外半軸
8K0 498 203B	防塵套修包-外半軸
8K0 615 601B !	煞車盤-後
8K0 698 151B +	來令片組-前
8K0 698 151F +	來令片組-前
8K0 698 451A !	來令片組-後
8K0 698 451G	來令片組-後
8K0 819 334AJ -	熱水管
8K0 819 439B	空調濾芯-活性碳
8K0 820 511B	冷氣控制馬達
8K0 839 879  GRU	後門外把外蓋
8K0 941 043C	大燈總成-左-氙氣
8K0 941 044C	大燈總成-右-氙氣
8K0 941 700D	霧燈-右
8K1 819 371AB ~	熱水管-進
8K1 898 967A *	蒸發器
8P0 945 097	第三煞車燈
8R0 121 081AP ~	水管-副水筒>接頭
8R0 199 381AA -	引擎腳-右
8R0 698 471	煞車分泵修理包-前
8R0 907 807G	氮氧化物感知器
8R0 907 807T	氮氧化物感知器
8R0 941 158B -	大燈後蓋-右
8S0 807 739B	前保桿側邊支架-左
8T0 807 307   QB9 ZZ	遮陽簾-車頂-瑕疵
8T0 820 521E	風量控制盒
8T0 837 205A  GRU	外把手-前/後門-L/R
8T0 915 181	負極線-代電瓶監控
8T0 941 043	大燈總成-左-氙氣
8T0 941 043C	大燈總成-左-氙氣
8T0 941 044C	大燈總成-右-氙氣
8T1 823 535	引擎蓋拉線-後段
8T1 898 191B	蒸發器-含外殼
8T8 809 907   GRU	油箱口外蓋
8U0 698 451F	來令片組-後
8U0 807 065L  GRU  ZZ	保桿-前
8U0 827 933   GRU	後擾流板
8V0 199 262D	引擎腳-右
8V0 498 625C	輪軸承修理包-前-代哈扶
8V0 698 151B +	來令片組-前
8V0 698 451 +N	來令片組-後
8V0 698 451A *	來令片組-後
8V0 698 451B *	來令片組-後
8V0 821 136A  XX	葉子板固定支架-右前內-中古
8V0 827 507D	六角鎖扣-後箱蓋
8V0 862 153B	中控分泵-油箱蓋
8V0 862 159	中控分泵-油箱蓋
8V0 862 159A	中控分泵-油箱蓋
8V0 941 043L	大燈總成-左-氙氣
8V0 941 043M	大燈總成-左-氙氣
8V0 941 774C	大燈總成-右-LED
8V0 951 209	喇叭-低音-L
8V0 951 210B	喇叭-高音-H
8V1 611 021A	煞車總泵
8V1 611 021A /	煞車總泵-不含感知器
8V1 611 021B /	煞車總泵
8V4 945 091 *	尾燈-左外-LED
8W0 121 081AN -	水管-
8W0 122 073F	水管-上
8W0 145 805Q	渦輪增壓散熱器
8W0 407 506C	三角架-上前右
8W0 498 203	防塵套修包-外半軸-L/R
8W0 512 131L	避震器橡皮-後
8W0 513 353	後避上座
8W0 698 451AF +	來令片組-後
8W0 698 451BE	來令片組-後
8W0 805 594	水箱架
8W0 823 029A  ZZ	引擎蓋-瑕疵
8W0 823 509C	引擎蓋六角鎖
8W0 837 461	升降機-電動-左前
8W0 853 888L	前葉前端膠板-右
8W0 858 937   4PK	後視鏡下蓋-
8W0 959 455J	風扇馬達
8W0 959 455M	風扇馬達
8W1 121 405F	副水筒
8W6 853 887M	前葉前端膠板-左
8W6 853 888M	前葉前端膠板-右
8W6 941 773D	大燈總成-左-LED
8X0 955 101C	大燈噴水器-左
8X1 857 410M  9B9	後視鏡座-右電動
8Y0 821 106A	葉子板-右前
8Y0 853 817A	輪弧內擋板-左後
946 106 026 60 -	水管-
948 102 403 23	皮帶張力減震器/惰輪
948 102 403 23 -	皮帶張力減震器/惰輪
958 106 550 20	水管-
958 121 605 00	皮帶-水泵
958 512 182 00	固定扣
958 542 462 04	升降機-電動右前
958 631 106 00	反光燈-右後
95B 131 984H	尿素導管-前
95B 998 001	雨刷片組-軟式
982 251 837	真空閥
996 352 949 03 +	來令片組
997 341 043 00  *	三角架-上前-L/R
997 341 053 04 /	三角架-前軸-後
997 351 939 05 *	來令片組-前
997 351 939 06 +	來令片組-前
997 573 911 02 /	冷排
997 607 019 03	正極線
997 612 756 00 *	來令片感應線組-前-左/右*2
9J0 854 731Y  OK1	輪弧-左後-後段
9J0 854 829Y  OK1	輪弧-左後-中段
9Y0 907 253C /	來令片感應線-後
G   052 183 M2	機油-0W-30
G  052 196 A2	差速器油-CVT
G16495	避震器-前
JZW 698 451D	來令片組-後
JZW 698 451G	來令片組-後-經濟型
N   013 813 1	墊片
N   108 103 01	螺絲
N   904 792 01	螺帽
N   907 469 01	O型環
N   907 653 01 /	O型環
N   909 417 01	螺絲
N   911 857 01	螺絲-惰輪
N 911 687 01	螺絲
V04 018 002A	蒸發器-含膨脹閥
WHT 001 319	螺絲-連桿
WHT 001 760	螺絲-曲軸皮帶盤
WHT 003 856 !	ABS速度感知器-右-前/後
WHT 003 856 #	ABS速度感知器-右-前/後
WHT 003 856 *	ABS速度感知器-右-前/後
WHT 003 857 !	ABS速度感知器-左-前/後
WHT 003 857 #	ABS速度感知器-左-前/後
WHT 003 857 *	ABS速度感知器-左-前/後
WHT 003 860 !	ABS速度感知器-右前
WHT 003 860 #	ABS速度感知器-右前
WHT 003 860 *	ABS速度感知器-右前
WHT 003 860 +	ABS速度感知器-右前
WHT 003 860 /	ABS速度感知器-右前
WHT 003 861 #	ABS速度感知器-左前
WHT 003 862 *	ABS速度感知器-右後
WHT 003 862 +	ABS速度感知器-右後
WHT 003 862A	ABS速度感知器-右後
WHT 003 863 #	ABS速度感知器-左後
WHT 003 863 +	ABS速度感知器-左後
WHT 003 863 -	ABS速度感知器-左後
WHT 003 864	ABS速度感知器-後-左/右
WHT 003 864 *	ABS速度感知器-後-左/右
WHT 003 864A *	ABS速度感知器-後-左/右
WHT 003 864B	ABS速度感知器-後-左/右
WHT 005 184 -	墊圈
WHT 005 651 *	ABS速度感知器-前/後-左/右
WHT 005 651 +	ABS速度感知器-前/後-左/右
WHT 007 212B -	O型環
