料號,廠牌,副廠料號,品名
0B1 141 165 -,LUK,,釋放軸承-離合器
0B1 941 521,VW,,倒車燈開關
0B2 409 400,VW,,油封-變速箱
0B4 301 319,,,間隔套筒-差速器
0B4 409 227,VW,,墊片-差速器
0B4 409 294D,VW,,軸承-差速器
0B4 409 307J,VW,,差速器-配重
0B4 409 344A,VW,,接頭座-內半軸-右
0B4 409 355D,VW,,接頭座-傳動軸
0B4 409 399D,VW,,油封-差速器-左
0B4 409 400D,VW,,油封-差速器-右
0B4 409 400D *,ELRING,,油封-差速器-右
0B5 105 317J,VW,,飛輪
0B5 105 317J *,LUK,,飛輪
0B5 105 317K,VW,,飛輪
0B5 105 317K *,LUK,,飛輪
0B5 105 317N,VW,,飛輪
0B5 105 317N *,LUK,,飛輪
0B5 105 317Q,VW,,飛輪
0B5 105 317Q *,LUK,,飛輪
0B5 105 317R,VW,,飛輪
0B5 105 317R *,LUK,,飛輪
0B5 105 317T,VW,,飛輪
0B5 105 317T *,LUK,,飛輪
0B5 141 030E,VW,,離合器組
0B5 141 030E *,BorgWarner,,離合器組
0B5 141 030F,VW,,離合器組
0B5 141 030F *,BorgWarner,,離合器組
0B5 141 030G,VW,,離合器組
0B5 141 030G *,BorgWarner,,離合器組
0B5 300 055K  001,VW-X,,變速箱總成-DSG-7A
0B5 300 057HX 001,VW-X,,變速箱總成-DSG-7A
0B5 301 227C,VW,,油封-排擋拉桿
0B5 301 227C *,ELRING,,油封-排擋拉桿
0B5 301 433,VW,,卡環
0B5 301 515H,VW,,油泵架
0B5 301 675A,VW,,通氣管-變速箱
0B5 311 113F,VW,,油封-變速箱
0B5 311 113F *,ELRING,,油封-變速箱
0B5 311 944D,VW,,油封
0B5 315 105AB,VW,,變速箱油泵
0B5 315 105R,VW,,變速箱油泵
0B5 315 105TA,VW,,油管-變速箱
0B5 315 105TC,VW,,油管-變速箱
0B5 321 361C,VW,,油底殼-變速箱
0B5 321 361C -,HENGST,,油底殼-變速箱-含墊片/放油螺絲
0B5 321 371E *,ELRING,,油底殼墊片-變速箱
0B5 321 371F,VW,,油底殼墊片-變速箱
0B5 321 391A,VW,,線組-變速箱
0B5 321 473,VW,,油管接頭
0B5 323 157B,VW,,C 型環-變速箱
0B5 323 259G,VW,,離合器外蓋
0B5 323 263G,VW,,離合器軸承
0B5 323 369D,VW,,C 型環-變速箱
0B5 323 525B,VW,,O型環-變速箱
0B5 323 525B *,ELRING,,O型環-變速箱
0B5 325 060C,VW,,變速箱濾芯總成
0B5 325 060C -,FEBI,,變速箱濾芯總成
0B5 325 330A,VW,,變速箱油芯
0B5 325 330A *,MAHLE,,變速箱油芯-含O型環
0B5 325 330A S1 -,FEBI,,變速箱油芯-含O型環
0B5 325 429E,VW,,變速箱濾網
0B5 325 429E -,FEBI,,變速箱濾網
0B5 325 429E S1 *,HENGST,,變速箱濾網+墊片
0B5 325 571,VW,,套管-變速箱電腦
0B5 398 008,VW,,閥體線路板修理包-固定包
0B5 398 008C,VW,,閥體線路板修理包-固定包
0B5 398 009F,VW,,閥體線路板修理包
0B5 398 009F #,VIKA,,閥體線路板修理包
0B5 398 048D,VW,,變速箱閥體修理包
0B5 398 048D #,VIKA,,變速箱閥體修理包
0B5 398 048D *,BorgWarner,,變速箱閥體修理包
0B5 398 060A,VW,,變速箱油芯外蓋組
0B5 927 321L,VW,,速度感知器-變速箱
0B6 300 035MX,VW-X,,變速箱總成-6速自排
0B6 321 359,VW,,油底殼-變速箱
0B6 325 429,VW,,變速箱濾網
0B6 325 429 *,ELRING,,變速箱濾網
0B6 325 429 +,MAHLE,,變速箱濾網
0B6 398 747,VW,,螺絲組-變速箱油底殼
0B7 141 671,VW,,離合器分泵/軸承
0B7 141 671 *,LUK,,離合器分泵/軸承-塑鋼
0B7 141 671 -,SACHS,,離合器分泵/軸承-鑄鐵
0B7 311 113,VW,,油封-變速箱
0B7 311 239G,VW,,同步齒輪-2/3擋銅齒
0B8 141 671,VW,,離合器分泵/軸承
0B8 141 671 *,LUK,,離合器分泵/軸承
0B8 141 671 +,SACHS,,離合器分泵/軸承
0B8 300 045,VW,,變速箱總成-6S
0B8 301 186,VW,,油管-變速箱
0B8 325 161,VW,,變速箱濾網
0B8 325 297,VW,,油管接頭-變速箱
0B8 325 297A,VW,,油管接頭-變速箱
0B8 901 137B,VW,,液壓泵-變速箱
0B8 901 137B /,MARELLI,,液壓泵-變速箱
0B8 906 625,VW,,電磁閥體-變速箱
0B8 927 321,VW,,速度感知器-變速箱
0B8 927 321 #,CN,,速度感知器-變速箱
0B8 927 321 *,BOSCH,,速度感知器-變速箱
0BA 409 123B,VW,,軸承-
0BA 409 189A,VW,,油封-
0BA 409 321C,VW,,軸承-
0BC 500 043J,VW,,差速器總成-後輪
0BC 500 043Q,VW,,差速器總成-後輪
0BF 598 081A,VW,,溫度壓力感知器-後差速器
0BF 598 082A,VW,,溫度壓力感知器-後差速器
0BH 300 011DX 008,VW-X,,變速箱總成-DSG-LWS
0BH 300 011FX 005,VW-X,,變速箱總成-DSG-MYB
0BH 300 011Q  007,VW,,變速箱總成-DSG-NFA
0BH 300 100  NYD,VW,,變速箱外殼-含齒輪
0BH 301 125E,VW,,變速箱閥體/電腦-外蓋
0BH 301 125E *,ELRING,,變速箱閥體/電腦-外蓋
0BH 301 205D,VW,,前離合器外蓋板
0BH 301 205D *,ELRING,,前離合器外蓋板
0BH 301 472G,VW,,通氣管-變速箱
0BH 301 859A,VW,,卡環
0BH 317 019,VW,,冷卻器-ATF
0BH 317 019 *,MAHLE,,冷卻器-ATF
0BH 317 019F,VW,,冷卻器-ATF
0BH 317 019F *,MAHLE,,冷卻器-ATF
0BH 321 363,VW,,量油管-變速箱
0BH 321 397,VW,,固定架
0BH 325 025F  Z09,VW,,變速箱閥體/電腦
0BH 325 025J  Z1A,VW,,變速箱閥體/電腦
0BH 325 025J  Z1B,VW,,變速箱閥體/電腦
0BH 325 025J  Z1C,VW,,變速箱閥體/電腦
0BH 325 025J  Z1D,VW,,變速箱閥體/電腦-DSG
0BH 325 025J  Z1F,VW,,變速箱閥體/電腦
0BH 325 025J  Z1H,VW,,變速箱閥體/電腦
0BH 325 025J  Z1N,VW,,變速箱閥體/電腦
0BH 325 025J  Z1P,VW,,變速箱閥體/電腦-DSG
0BH 325 025J  Z1Y,VW,,變速箱閥體/電腦
0BH 325 025M  Z3V,VW,,變速箱閥體/電腦
0BH 325 025M  Z3W,VW,,變速箱閥體/電腦
0BH 325 025N  Z0C,VW,,變速箱閥體/電腦
0BH 325 025N  Z0D,VW,,變速箱閥體/電腦
0BH 325 025P  Z1B,VW,,變速箱閥體/電腦
0BH 325 025P  Z1Y,VW,,變速箱閥體/電腦
0BH 325 025P  Z41,VW,,變速箱閥體/電腦
0BH 325 147,VW,,卡環
0BH 325 159,VW,,變速箱油芯外殼
0BH 325 159 #,VIKA,,變速箱油芯外殼
0BH 325 159 /,TOPRAN,,變速箱油芯外殼
0BH 325 183B,VW,,變速箱油芯
0BH 325 183B *,HENGST,,變速箱油芯-含O型環
0BH 325 183B /,FEBI,,變速箱油芯-含O型環
0BH 398 008,VW,,墊片包
0BH 398 029,VW,,離合器片組
0BH 398 029B,VW,,離合器片組
0BH 398 029B *,LUK,,離合器片組
0BH 398 029C,VW,,離合器片組
0BH 409 400E,VW,,油封-變速箱
0BH 409 400E *,ELRING,,油封-變速箱
0BH 927 321A,VW,,速度感知器-變速箱
0BK 321 359,VW,,油底殼-變速箱
0BK 323 571N,VW,,扭力變換器
0BK 323 573A,VW,,扭力變換器
0BK 398 009A,VW,,變速箱濾網修包
0BK 398 009A *,ZF,,變速箱濾網修包
0BK 398 009A -,HENGST,,變速箱濾網+墊片
0BK 409 345,VW,,傳動軸接桿
0BK 498 110A,VW,,差速器油封修理包
0BK 498 111B,VW,,差速器油封修理包
0BK 498 111C,VW,,差速器油封修理包
0BL 398 009,VW,,變速箱濾網修包
0BL 398 009 *,ZF,,變速箱濾網修包
0BL 398 048,VW,,放油螺絲組-變速箱
0BQ 321 371,VW,,油底殼墊片變速箱
0BQ 325 429,VW,,變速箱濾網
0BQ 325 429 *,TAIWAN,,變速箱濾網
0BR 525 554A,VW,,驅動馬達-後差速器
0BT 300 045JX 00F,VW-X,,變速箱總成
0BT 301 472B,VW,,通風管
0BT 311 120,VW,,護蓋-變速箱
0BT 311 120C,VW,,護蓋-變速箱
0BT 317 019,VW,,冷卻器-ATF
0BT 317 019 *,MAHLE,,冷卻器-ATF
0BT 317 019 /,NISSENS,,冷卻器-ATF
0BT 317 019B,VW,,冷卻器-ATF
0BT 321 363,VW,,量油管-變速箱
0BU 301 125,VW,,放油螺絲-加力箱
0BU 311 321A,VW,,卡環
0BU 321 199,VW,,加力箱油封-後
0BU 321 199A,VW,,加力箱油封-前
0BU 321 199B,VW,,加力箱油封-前
0BU 409 375,VW,,加力箱油封蓋-後
0BU 409 375B,VW,,加力箱油封蓋-前
0BW 398 009B,VW,,變速箱濾網組
0BW 398 009B *,ZF,,變速箱濾網組
0BW 398 009B -,TOPRAN,,變速箱濾網組
0BZ 105 266Q,VW,,飛輪
0BZ 105 266S,VW,,飛輪
0C6 141 465B,VW,,離合器軸承油管
0C6 141 671D,VW,,離合器分泵/軸承
0C6 141 671D *,LUK,,離合器分泵/軸承
0C6 300 020LX,VW,,變速箱總成-6S
0C8 321 181,VW,,量油管墊片
0C8 321 181 -,FEBI,,量油管墊片
0C8 321 181 /,TOPRAN,,量油管墊片
0C8 321 243,VW,,油封-自動油泵
0C8 321 243 *,ELRING,,油封-自動油泵
0C8 321 361,VW,,油底殼-變速箱
0C8 321 361 /,TOPRAN,,油底殼-變速箱
0C8 321 371,VW,,油底殼墊片-變速箱
0C8 321 371 *,ELRING,,油底殼墊片-變速箱
0C8 325 435,VW,,變速箱濾網
0C8 325 435 /,TOPRAN,,變速箱濾網
0C8 325 435 S1 *,HENGST,,變速箱濾網+墊片
0C8 325 443,VW,,濾網墊片
0C8 325 443 /,TOPRAN,,濾網墊片
0C8 919 823,VW,,多功能開關
0C8 927 201A,VW,,機油泵-變速箱
0C8 927 321,VW,,速度感知器-變速箱
0C8 927 363,VW,,線路板-電磁閥體
0C8 927 363A,VW,,線路板-電磁閥體
0C9 311 220B,VW,,軸承-輸出軸
0C9 311 220B *,LUK,,軸承-輸出軸
0CB 301 953A,VW,,排檔桿連接桿
0CB 301 953A /,TOPRAN,,排檔桿連接桿
0CB 311 241A,VW,,同步器齒輪-5擋
0CB 399 383A,VW,,排檔平衡桿
0CF 409 189C,VW,,油封-差速器
0CJ 300 042B  001,VW,,變速箱總成-SA
0CJ 409 529,VW,,油封-差速器內
0CK 105 317AE,VW,,飛輪
0CK 105 317AE *,LUK,,飛輪
0CK 105 317AE -,SACHS,,飛輪
0CK 105 317AF,VW,,飛輪
0CK 105 317AF *,LUK,,飛輪
0CK 105 317AF -,SACHS,,飛輪
0CK 105 317AP,VW,,飛輪
0CK 105 317AQ,VW,,飛輪
0CK 105 317AR,VW,,飛輪
0CK 105 317AR *,LUK,,飛輪
0CK 105 317AR -,SACHS,,飛輪
0CK 141 030N,VW,,離合器組
0CK 141 030P,VW,,離合器組
0CK 141 030P *,BorgWarner,,離合器組
0CK 301 131B,VW,,墊片-變速箱側蓋
0CK 301 164,VW,,墊片
0CK 301 166,VW,,墊片
0CK 301 191A,VW,,墊圈-變速箱
0CK 301 215,VW,,墊圈-變速箱
0CK 301 461,VW,,墊片
0CK 301 461 *,ELRING,,墊片
0CK 321 281J,VW,,機油泵
0CK 321 281M,VW,,機油泵-變速箱
0CK 321 281N,VW,,機油泵-變速箱
0CK 321 281N *,VALEO,,機油泵-變速箱
0CK 321 359M -,HENGST,,油底殼-變速箱
0CK 321 359M /,TOPRAN,,油底殼-變速箱
0CK 321 359N,VW,,油底殼-變速箱
0CK 321 371 *,ELRING,,油底殼墊片-變速箱
0CK 321 371A,VW,,油底殼墊片-變速箱
0CK 321 439A,VW,,放油螺絲-變速箱
0CK 325 026AE 024,VW,,變速箱閥體/電腦
0CK 325 031AP,VW,,閥體/油泵-變速箱
0CK 325 031AR,VW,,閥體/油泵-變速箱
0CK 325 083,VW,,油管-變速箱閥體
0CK 325 107F,VW,,接管-變速箱油底殼
0CK 325 107F /,TOPRAN,,接管-變速箱油底殼
0CK 325 121D,VW,,變速箱油芯
0CK 325 121D *,HENGST,,變速箱油芯
0CK 325 121D -,FEBI,,變速箱油芯-含O型環
0CK 325 149D,VW,,變速箱油芯
0CK 325 149D *,HENGST,,變速箱油芯-含O型環
0CK 325 149D -,FEBI,,變速箱油芯-含O型環
0CK 325 201D,VW,,變速箱油芯外蓋
0CK 325 371D,VW,,變速箱油芯外蓋
0CK 325 421A,VW,,變速箱濾網
0CK 325 421A S1,FEBI,,變速箱濾網+墊片
0CK 325 443,VW,,閥體墊片
0CK 325 444,VW,,閥體墊片
0CK 325 445,VW,,閥體墊片
0CK 325 446,VW,,閥體墊片
0CK 325 449,VW,,墊片
0CK 325 450A,VW,,墊片
0CK 325 497H,VW,,液壓泵-變速箱
0CK 409 399,VW,,油封-差速器-左
0CK 409 400,VW,,油封-差速器-右
0CK 927 367B,VW,,固定架-
0CK 927 432B,VW,,駐車鎖蓋板
0CK 927 523,VW,,墊圈-變速箱
0CK 927 753K,VW,,多功能開關
0CM 301 519,VW,,變速箱濾網修包
0CM 301 519 *,HENGST,,變速箱濾網修包
0CM 301 519 -,ZF,,變速箱濾網修包
0CM 301 519 /,TOPRAN,,變速箱濾網修包
0CN 409 529A,VW,,油封-差速器-左
0CN 525 596,VW,,油封-差速器-中
0CP 409 053P,VW,,差速器總成-前
0CP 409 189,VW,,油封-差速器-左
0CP 409 189B,VW,,油封-差速器-右
0CP 409 529,VW,,油封-差速器
0CP 525 596A,VW,,油封-差速器-中
0CP 525 596B,VW,,油封-差速器-中
0CQ 409 355,VW,,接頭座-傳動軸
0CQ 525 010L,VW,,差速器總成-後輪
0CQ 525 010M,VW,,差速器總成-後輪
0CQ 525 015,VW,,差速器總成-後輪
0CQ 525 596A,VW,,油封-差速器-右
0CQ 598 305,VW,,油封組-驅動馬達
0CQ 598 305 *,ELRING,,油封組-驅動馬達
0CQ 598 549,VW,,驅動馬達
0CQ 598 549 *,BorgWarner,,驅動馬達
0CQ 598 549 /,TOPRAN,,驅動馬達
0CQ 907 554J,VW,,控制電腦-驅動馬達
0CQ 907 554J *,BorgWarner,,控制電腦-驅動馬達
0CS 409 355,VW,,接頭座-傳動軸-左
0CS 409 399,VW,,油封-差速器-左
0CS 409 400,VW,,油封-差速器-右
0CT 141 153C,VW,,釋放軸承/撥叉組
0CT 141 153C -,SACHS,,釋放軸承/撥叉組
0CT 142 056F,VW,,離合器控制裝置
0CT 311 097E,VW,,檔位控制模組
0CT 998 750M,VW,,變速箱電腦
0CW 103 551A,VW,,墊片-引擎本體-曲軸後
0CW 300 040SX 00D,VW-X,,變速箱總成
0CW 300 042DX 015,VW-X,,變速箱總成
0CW 300 044TX 00U,VW-X,,變速箱總成
0CW 300 045A  00E,VW-X,,變速箱總成
0CW 300 045BX 009,VW-X,,變速箱總成
0CW 300 045CX 00C,VW-X,,變速箱總成
0CW 300 045DX 00A,VW-X,,變速箱總成
0CW 300 047TX 003,VW-X,,變速箱總成
0CW 300 048NX 013,VW-X,,變速箱總成
0CW 300 049QX 00V,VW-X,,變速箱總成
0CW 301 472F,VW,,通氣管-變速箱
0D5 321 465,VW,,油底殼墊片-變速箱
0D5 321 465 *,ELRING,,油底殼墊片-變速箱
0D5 323 571A,VW,,扭力變換器
0D5 398 009 *,ZF,,油底殼-變速箱/含濾芯+墊片
0D5 398 009 -,HENGST,,油底殼-變速箱/含濾芯+墊片
0D5 398 009B,VW,,油底殼-變速箱/含濾芯+墊片
0D5 398 009B *,ZF,,油底殼-變速箱/含濾芯+墊片
0D5 398 009B -,HENGST,,油底殼-變速箱/含濾芯+墊片
0D5 398 009C,VW,,油底殼-變速箱/含濾芯+墊片
0D5 398 010,VW,,變速箱油底殼墊片修理包
0D5 398 010 *,ELRING,,變速箱油底殼墊片修理包
0D5 398 048A,VW,,放油螺絲組-變速箱
0D6 398 359,VW,,油底殼-變速箱/含濾芯+墊片
0D6 398 359 *,ZF,,油底殼-變速箱/含濾芯+墊片
0D6 398 359A,VW,,油底殼-變速箱/含濾芯+墊片
0D6 398 359A *,ZF,,油底殼-變速箱/含濾芯+墊片
0D9 300 011R  00F,VW,,變速箱總成
0D9 300 011RX 00D,VW-X,,變速箱總成
0D9 300 040AX 00N,VW-X,,變速箱總成
0D9 300 040BX 00B,VW-X,,變速箱總成
0D9 300 040KX 00F,VW-X,,變速箱總成
0D9 300 041JX 00B,VW-X,,變速箱總成
0D9 300 043FX 00T,VW-X,,變速箱總成
0D9 300 043X  008,VW-X,,變速箱總成
0D9 301 360,VW,,卡環
0D9 498 305,VW,,油封組-液壓泵
0D9 498 305A,VW,,油封組-液壓泵
0DJ 301 485,VW,,氣嘴蓋-變速箱
0DL 300 011AX 00R,VW,,變速箱總成-DSG
0DL 300 011D  009,VW,,變速箱總成-DSG
0DT 325 101B,PORSCHE,,變速箱閥體/電腦
0EF 901 302D,VW,,油封-
0GC 141 029G *,BorgWarner,,離合器片組
0GC 300 012AX 00E,VW-X,,變速箱總成-DSG
0GC 301 125A,VW,,變速箱油封-大
0GC 301 125A *,ELRING,,變速箱油封-大
0GC 301 205B *,ELRING,,前離合器外蓋板
0GC 301 205D,VW,,前離合器外蓋板
0GC 301 211,VW,,變速箱油封-小
0GC 301 472D,VW,,通氣管-變速箱
0GC 317 019C,VW,,冷卻器-ATF
0GC 317 019C *,MAHLE,,冷卻器-ATF
0GC 317 019C -,NRF,,冷卻器-ATF
0GC 317 019F,VW,,冷卻器-ATF
0GC 321 363,VW,,量油管-變速箱
0GC 325 025D  Z0X,VW,,變速箱閥體/電腦-DSG
0GC 325 025E  Z6X,VW,,變速箱閥體/電腦-DSG
0GC 325 025H  012,VW,,變速箱閥體/電腦-DSG
0GC 325 183A *,HENGST,,變速箱油芯-含O型環
0GC 325 183A -,BOSCH,,變速箱油芯-含O型環
0GC 325 183D,VW,,變速箱油芯
0GC 325 201K,VW,,油底殼-變速箱含墊片
0GC 325 201L,VW,,油底殼-變速箱含墊片
0GC 325 201N,VW,,油底殼-變速箱含墊片
0GC 325 201N #,VIKA,,油底殼-變速箱含墊片
0GC 325 201P,VW,,油底殼-變速箱含墊片
0GC 398 029B,VW,,離合器片組
0GC 398 029B *,LUK,,離合器片組
0GC 398 029C,VW,,離合器片組
0GC 398 029K,VW,,離合器片組
0GC 398 029K *,LUK,,離合器片組
0GC 398 029L,VW,,離合器片組
0GC 398 029L -,SACHS,,離合器片組
0GC 927 115,VW,,O型環-驅動馬達
0GC 927 373M,VW,,變速箱驅動馬達
0GC 927 377,VW,,墊片-變速箱閥體
0MB 300 040D,VW,,變速箱
0MB 409 399,VW,,油封-差速器
0MB 409 399A,VW,,油封-差速器
0P2 103 161A,VW,,機油芯座墊片-
0P2 103 161A *,ELRING,,機油芯座墊片-
0P2 103 464D,VW,,油氣分離器-右
0P2 103 495F,VW,,油氣分離器-左
0P2 103 495L,VW,,油氣分離器-左
0P2 109 417,VW,,汽門搖臂
0P2 109 417 *,LUK,,汽門搖臂
0P2 121 014H,VW,,水泵
0P2 121 115D,VW,,節溫器-含蓋
0P2 121 139,VW,,墊片-
0P2 121 228A,VW,,水泵墊片
0P2 121 237A,VW,,連接管
0P2 121 406B,VW,,節溫器座
0P2 121 455K,VW,,通氣管
0P2 121 455L,VW,,通氣管
0P2 129 056,VW,,進氣管墊片-渦輪
0P2 133 062C,VW,,節流閥總成
0P2 133 062C -,MARELLI,,節流閥總成
0P2 133 073,VW,,節流閥墊片
0P2 133 073 *,ELRING,,節流閥墊片
0P2 145 039A,VW,,渦輪增壓器墊片
0P2 253 039C,VW,,排氣管墊片
0P2 253 039C *,ELRING,,排氣管墊片
0P2 260 849,VW,,皮帶-綜合
0P2 260 849 /,CONTI,,皮帶-綜合
0P2 260 938C,VW,,皮帶張力減震器/惰輪
0P2 903 137A,VW,,皮帶-綜合
0P2 903 137A /,CONTI,,皮帶-綜合
0P2 903 137B,VW,,皮帶-綜合
0P2 905 601,VW,,火星塞-
0P2 905 601A,VW,,火星塞-SILZKGR8F7E
0PB 105 247 *,ELRING,,曲軸油封-前
0PB 109 257A,PORSCHE,,調整器-凸輪軸
0PB 109 259C,PORSCHE,,電磁閥
0PB 109 259C -,FEBI,,電磁閥
0PB 115 351,PORSCHE,,機油芯
0PB 115 351 -,MAHLE,,機油芯
0PB 115 403,PORSCHE,,機油芯蓋-含機油芯
0PB 115 403A,PORSCHE,,機油芯蓋-含機油芯
0PB 115 441,PORSCHE,,機油冷卻器墊圈
0PB 115 441 *,ELRING,,機油冷卻器墊圈
0PB 115 466,PORSCHE,,機油芯
0PB 115 466 *,BOSCH,,機油芯-P7367
0PB 115 466 -,MAHLE,,機油芯
0PB 121 005E,PORSCHE,,水泵
0PB 121 005E +,HEPU,,水泵
0PB 121 035A,PORSCHE,,水泵
0PB 121 035A -,FEBI,,水泵-不附皮帶盤
0PB 121 159,PORSCHE,,暖水閥
0PB 121 688,PORSCHE,,O型環-節溫器
0PB 121 688A,PORSCHE,,O型環-節溫器
0PB 121 688A *,WAHLER,,O型環-節溫器
0PB 145 257,PORSCHE,,惰輪-綜合皮帶
0PB 903 018 *,LUK,,發電機皮帶盤-單導向
0PB 903 137A,PORSCHE,,皮帶-綜合
0PB 903 137A /,CONTI,,皮帶-綜合
0PB 903 137C,PORSCHE,,皮帶-綜合
0PB 903 137D,PORSCHE,,皮帶-綜合
0PB 905 093F *,BOSCH,,發火線圈
0PB 905 377B *,BOSCH,,爆震感知器
0PC 115 466,PORSCHE,,機油芯
0PC 115 466 *,BOSCH,,機油芯-代O型環-P7314
0PC 121 005A,PORSCHE,,水泵
0PC 121 005A +,HEPU,,水泵
0PC 121 005A /,SKF,,水泵
1 273 004 211,BOSCH,,ABS電腦
1 273 004 282,BOSCH,,ABS電腦
1 688 003 261,BOSCH,,機器推車
1 986 A01 033,BOSCH,,發電機-110A/28V
1 986 A01 982,BOSCH,,發電機-100A/28V
1 987 P12 910,BOSCH,,ESI 1Y Main
100 109 001B,VW,,汽門套筒
100 229,SACHS,,避震器芯-前
100 786,SACHS,,避震器芯-前
100 907 375J,VW,,ABS電腦
100 909 606AL,VW,,安全氣囊電腦-側邊
100 909 608A,VW,,安全氣囊電腦
100-1217-50,OZ,,煞車盤-後-打洞
100-1232-50,OZ,,煞車盤-後-打洞
100-1236-50,OZ,,煞車盤-後-打洞
100-3356-52,OZ,,煞車盤-前-打洞
1003145,FEBI,,束子
101 000 004AA,VW,,火星塞-F6DTC
101 000 004AA *,BOSCH,,火星塞-F6DTC
101 000 004AA -,EYQUEM,,火星塞-FC62LS3X
101 000 005AA,VW,,火星塞-W6DTC
101 000 005AB,VW,,火星塞-W7DTC
101 000 005AB *,BOSCH,,火星塞-W7DTC
101 000 005AE,VW,,火星塞-W8DTC
101 000 006AA,VW,,火星塞-W5DCO
101 000 009AA,VW,,火星塞-W7CCO
101 000 009AA +,BERU,,火星塞-14-7CU
101 000 026AA,VW,,火星塞-
101 000 026AB,VW,,火星塞-N7BMC
101 000 033AA,VW,,火星塞-BKUR6ET-10
101 000 033AA *,NGK,,火星塞-BKUR6ET-10
101 000 033AA -,BOSCH,,火星塞-FR7LDC
101 000 033AB,VW,,火星塞-BKUR7ET
101 000 033AG,VW,,火星塞-BKUR5ET-10
101 000 033AG *,NGK,,火星塞-BKUR5ET-10
101 000 033AG -,BOSCH,,火星塞-FLR8LDCU
101 000 035AH,VW,,火星塞-BKR5EKUP
101 000 035AH -,BOSCH,,火星塞-FGR8KQE
101 000 035HJ,VW,,火星塞-BKR6EKUB
101 000 035HJ *,BOSCH,,火星塞-FGR7DQ
101 000 035HJ +,BERU,,火星塞 14-FGR-6DDU
101 000 035HJ -,NGK,,火星塞-BKR6EKUB
101 000 035HJ ~,VW-一汽,,火星塞
101 000 036AA,VW,,火星塞-BUR6ET
101 000 036AA *,NGK,,火星塞-WR7LTC+
101 000 036AA -,BOSCH,,火星塞-WR7LTC+
101 000 036AB,VW,,火星塞-BUR5ET
101 000 036AB *,BOSCH,,火星塞-WR8LT
101 000 036AB -,NGK,,火星塞-BUR5ET
101 000 039AB,VW,,火星塞-BPR5EKU
101 000 041AC,VW,,火星塞-14FGH-7DTURX
101 000 050AA,VW,,火星塞-W8LTCR
101 000 050AB,VW,,火星塞-W8LTCR
101 000 050AC,VW,,火星塞-W7LTCR
101 000 051AA,VW,,火星塞-F7LTCR
101 000 052AA,VW,,火星塞-GR7KQC
101 000 052AA *,BOSCH,,火星塞-HGR7KQC
101 000 054AC,VW,,火星塞-FGR7KQE
101 000 054AD,VW,,火星塞-FGR6QE
101 000 062AB,VW,,火星塞-PZFR5D-11
101 000 062AB *,BOSCH,,火星塞-FR7HPP 33+
101 000 062AB -,NGK,,火星塞-PZFR5D-11
101 000 063AA,VW,,火星塞-PFR6Q
101 000 063AA *,BOSCH,,火星塞-FR7KPP33+
101 000 063AA -,NGK,,火星塞-PFR6Q
101 000 063AA ~,VW-一汽,,火星塞-
101 000 063AC,VW,,火星塞
101 000 063AC *,BOSCH,,火星塞-FR6KPP
101 000 063AC -,NGK,,火星塞-PFR7Q
101 000 068AA,VW,,火星塞-FGR6HQE0
101 000 068AA *,BOSCH,,火星塞-GR6HQE0
101 824,SACHS,,避震器-後
101 825,SACHS,,避震器-前
101 905 600A,VW,,火星塞-PZFR6J-11
101 905 600A -,NGK,,火星塞-PZFE6J-11
101 905 600C,VW,,火星塞-PZFR5Q-11
101 905 601B,VW,,火星塞-F7HER2
101 905 606A,VW,,火星塞-IZKR7B
101 905 606A *,NGK,,火星塞-IZKR7B
101 905 606A -,BOSCH,,火星塞-YR7LPP332W
101 905 607,VW,,火星塞-BKR6EKUE
101 905 610A,VW,,火星塞-F7DER
101 905 610A *,BOSCH,,火星塞-FR7DE2
101 905 611A,VW,,火星塞-PFR6X-11
101 905 611A -,BOSCH,,火星塞-FR7KPP332
101 905 611G,VW,,火星塞-PFR8S8EG
101 905 611G -,NGK,,火星塞-PFR8S8EG
101 905 615A,VW,,火星塞-FGR7KQE0
101 905 615A *,BOSCH,,火星塞-FGR7KQE0
101 905 616,VW,,火星塞-BKR6EQUA
101 905 616 -,NGK,,火星塞-BKR6EQUA
101 905 617,VW,,火星塞-ZFR5P-G
101 905 617 *,BOSCH,,火星塞-FR7HC
101 905 617 -,NGK,,火星塞-ZFR5P-G
101 905 617C,VW,,火星塞-ZFR6T-11G
101 905 617C *,BOSCH,,火星塞-FR7HE
101 905 617C -,NGK,,火星塞-ZFR6T-11G
101 905 620,VW,,火星塞-PZFR5N-11T
101 905 620 *,BOSCH,,火星塞-FR7HPP
101 905 620 -,NGK,,火星塞-PZFR5N-11T
101 905 621,VW,,火星塞-PFR7W-T
101 905 621 -,NGK,,火星塞-PFR7W-T
101 905 621B,VW,,火星塞-PFR6W-TG
101 905 621B -,NGK,,火星塞-PFR6W-TG
101 905 621C,VW,,火星塞-PFR7W-TG
101 905 621C -,NGK,,火星塞PFR7W-TG
101 905 622,VW,,火星塞-ILZKR7A
101 905 622 *,BOSCH,,火星塞-YR6TII330T
101 905 622 -,NGK,,火星塞-ILZKR7A
101 905 622A,VW,,火星塞-ILZKR8A
101 905 622A -,NGK,,火星塞-ILZKR8A
101 905 626,VW,,火星塞-PZFR6R
101 905 626 -,NGK,,火星塞-PZFR6R
101 905 631A,VW,,火星塞-F7KPP332U
101 905 631B,VW,,火星塞-
101 905 631C,VW,,火星塞-FR6KPP332S
